squareMeters,rooms,type,longitude,hasElevator,poiCount,hasSecurity,hasParkingSpace,buildYear,centreDistance,city_encoded
45.0,2.0,1.0,18.60294,0.0,18.0,0,0,1970.0,7.06,737720.9866291344
47.13,2.0,2.0,17.99239,0.0,24.0,0,0,1867.0,0.57,411446.35302390996
26.1,1.0,0.0,18.5454275,0.0,6.0,0,0,1950.0,4.02,657043.248427673
37.9,2.0,1.0,19.02132511,0.0,48.0,0,0,,0.45,442685.6430594901
75.0,3.0,1.0,19.9325529,1.0,26.0,0,0,1988.0,1.92,747427.8625277162
90.12,4.0,3.0,19.84971,0.0,1.0,0,0,2023.0,6.5,747427.8625277162
33.05,2.0,1.0,17.03976,0.0,9.0,0,0,1960.0,4.6,663522.8989361703
45.96,3.0,1.0,21.03784967,1.0,22.0,0,0,1970.0,2.4,923794.7879754602
34.5,2.0,1.0,21.06066017,1.0,8.0,0,0,1977.0,5.79,923794.7879754602
51.0,3.0,1.0,21.04217,0.0,12.0,0,0,1974.0,6.77,923794.7879754602
80.19,3.0,1.0,18.51563,1.0,2.0,0,0,2010.0,5.19,657043.248427673
72.75,4.0,0.0,19.94796,0.0,128.0,1,0,,0.9,747427.8625277162
35.12,2.0,1.0,21.1772317,0.0,18.0,0,0,1976.0,2.47,331119.6569037657
91.5,3.0,3.0,18.968699,1.0,0.0,0,1,2023.0,6.99,442685.6430594901
31.61,1.0,0.0,20.9478161,0.0,8.0,0,0,1930.0,6.9,923794.7879754602
26.48,1.0,1.0,21.03830069,1.0,17.0,0,0,1968.0,2.37,923794.7879754602
48.12,2.0,1.0,19.158432,0.0,3.0,0,0,,4.35,312877.4539007092
113.0,4.0,2.0,17.0487111869836,0.0,13.0,0,0,1900.0,2.16,663522.8989361703
83.41,4.0,1.0,18.57156,1.0,3.0,0,0,2016.0,5.37,737720.9866291344
81.0,5.0,1.0,17.9767,1.0,7.0,0,0,2019.0,1.62,411446.35302390996
62.0,2.0,2.0,17.0394891,0.0,37.0,0,0,1910.0,2.44,663522.8989361703
45.0,2.0,3.0,19.951609,1.0,51.0,0,0,2022.0,1.44,747427.8625277162
65.18,3.0,3.0,19.8962,1.0,12.0,1,1,2021.0,3.66,747427.8625277162
62.2,3.0,2.0,20.97027704,0.0,24.0,0,1,1940.0,2.46,923794.7879754602
55.03,2.0,2.0,19.4578512,0.0,59.0,0,1,1880.0,2.14,413154.8083261058
53.9,3.0,3.0,20.96219747,1.0,23.0,0,1,2018.0,4.29,923794.7879754602
47.0,2.0,1.0,19.9790754,0.0,9.0,0,0,2002.0,4.98,747427.8625277162
87.94,4.0,1.0,20.00956,1.0,12.0,0,0,2022.0,7.17,747427.8625277162
38.72,2.0,1.0,22.568203,1.0,8.0,0,0,1975.0,3.79,491590.74011299433
70.0,2.0,2.0,19.9368,0.0,40.0,0,1,1938.0,1.68,747427.8625277162
62.0,3.0,0.0,18.5277,1.0,0.0,0,0,2019.0,8.24,737720.9866291344
92.49,5.0,1.0,19.9635,0.0,12.0,0,0,,3.62,747427.8625277162
48.1,3.0,1.0,23.18458557,0.0,30.0,0,0,1975.0,2.63,445351.94527363183
37.0,2.0,1.0,20.93489,0.0,25.0,0,0,1970.0,7.9,923794.7879754602
75.0,3.0,1.0,20.9786,0.0,37.0,0,0,1958.0,4.25,923794.7879754602
38.8,2.0,1.0,21.0122287,1.0,113.0,0,0,1970.0,0.63,923794.7879754602
35.4,2.0,0.0,17.9719214,1.0,13.0,0,0,,1.95,411446.35302390996
54.0,2.0,1.0,19.9695547,0.0,24.0,0,0,1965.0,3.67,747427.8625277162
60.0,2.0,1.0,19.46,0.0,1.0,0,1,1959.0,2.79,413154.8083261058
30.0,2.0,1.0,20.9946715,1.0,75.0,0,0,1972.0,0.93,923794.7879754602
74.06,3.0,3.0,20.8967,1.0,15.0,1,1,2023.0,7.37,923794.7879754602
47.0,2.0,0.0,16.9170698,0.0,1.0,0,0,,3.58,568970.2777777778
90.0,3.0,1.0,20.036,0.0,29.0,0,1,1956.0,7.28,747427.8625277162
42.43,2.0,1.0,21.1292428,0.0,14.0,0,0,1965.0,1.7,331119.6569037657
41.47,2.0,1.0,19.91901829,1.0,17.0,0,0,1970.0,3.01,747427.8625277162
80.0,4.0,1.0,16.9680251,0.0,17.0,0,0,1980.0,4.6,663522.8989361703
